image,object_id,sep_type,orientation,point_id,x_px,y_px,width_px,width_mm,distance_to_reference_px,distance_to_reference_mm
Multimedia (31).jpg,1,gap,vertical,1,332.5,151.0,25.0,25.0,1219.0,1219.0
Multimedia (31).jpg,1,gap,vertical,2,332.5,197.89,25.0,25.0,1172.11,1172.11
Multimedia (31).jpg,1,gap,vertical,3,332.5,244.78,25.0,25.0,1125.22,1125.22
Multimedia (31).jpg,1,gap,vertical,4,332.5,291.67,25.0,25.0,1078.33,1078.33
Multimedia (31).jpg,1,gap,vertical,5,332.5,338.56,25.0,25.0,1031.44,1031.44
Multimedia (31).jpg,1,gap,vertical,6,332.5,385.44,25.0,25.0,984.56,984.56
Multimedia (31).jpg,1,gap,vertical,7,332.5,432.33,25.0,25.0,937.67,937.67
Multimedia (31).jpg,1,gap,vertical,8,332.5,479.22,25.0,25.0,890.78,890.78
Multimedia (31).jpg,1,gap,vertical,9,332.5,526.11,25.0,25.0,843.89,843.89
Multimedia (31).jpg,1,gap,vertical,10,332.5,573.0,25.0,25.0,797.0,797.0
Multimedia (31).jpg,2,gap,vertical,1,322.0,760.0,32.0,32.0,610.0,610.0
Multimedia (31).jpg,2,gap,vertical,2,322.0,805.67,32.0,32.0,564.33,564.33
Multimedia (31).jpg,2,gap,vertical,3,322.0,851.33,32.0,32.0,518.67,518.67
Multimedia (31).jpg,2,gap,vertical,4,322.0,897.0,32.0,32.0,473.0,473.0
Multimedia (31).jpg,2,gap,vertical,5,322.0,942.67,32.0,32.0,427.33,427.33
Multimedia (31).jpg,2,gap,vertical,6,322.0,988.33,32.0,32.0,381.67,381.67
Multimedia (31).jpg,2,gap,vertical,7,322.0,1034.0,32.0,32.0,336.0,336.0
Multimedia (31).jpg,2,gap,vertical,8,322.0,1079.67,32.0,32.0,290.33,290.33
Multimedia (31).jpg,2,gap,vertical,9,322.0,1125.33,32.0,32.0,244.67,244.67
Multimedia (31).jpg,2,gap,vertical,10,322.0,1171.0,32.0,32.0,199.0,199.0
