image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_44.jpg,1,1,1,1,220.0,867.25,164.9917755126953,529.889404296875,201.74078369140625
data/images\Multimedia_44.jpg,1,1,2,2,304.5,867.0,259.53082275390625,504.1009216308594,227.52926635742188
data/images\Multimedia_44.jpg,1,1,3,3,389.0,870.0,354.02838134765625,480.6893310546875,250.94085693359375
data/images\Multimedia_44.jpg,1,1,4,4,473.5,870.0,448.5642395019531,455.0837097167969,276.5464782714844
data/images\Multimedia_44.jpg,1,1,5,5,558.0,869.25,543.1096801757812,428.9295654296875,302.70062255859375
data/images\Multimedia_44.jpg,1,2,1,6,220.0,886.0,164.75250244140625,543.6022338867188,188.0279541015625
data/images\Multimedia_44.jpg,1,2,2,7,304.5,884.2999877929688,259.31005859375,516.7532958984375,214.87689208984375
data/images\Multimedia_44.jpg,1,2,3,8,389.0,886.0,353.82421875,492.39093017578125,239.2392578125
data/images\Multimedia_44.jpg,1,2,4,9,473.5,885.0,448.3728332519531,466.053955078125,265.57623291015625
data/images\Multimedia_44.jpg,1,2,5,10,558.0,883.0,542.9342041015625,438.985595703125,292.64459228515625
